City;IATA
Tallinn;TLL
Amsterdam;AMS
Antalya;AYT
Athens;ATH
Barcelona;BCN
Berlin;TXL
Billund;BLL
Brussels;BRU
Copenhagen;CPH
Dublin;DUB
Dubrovnik;DBV
Frankfurt;FRA
Helsinki;HEL
Herakleion;HER
Istanbul;IST
Kopenhagen;CPH
Kuressaare;URE
Khutaisi;KUT
Kärdla;KDL
London;LGW
Malaga;AGP
Malta;MLA
Milan;BGY
Munich;MUC
Napoli;NAP
Nice;NCE
Nuremburg;NUE
Oslo;OSL
Paphos;PFO
Paris;CDG
Rhodos;RHO
Riga;RIX
Rome;FCO
Salzburg;SZG
Split;SPU
Stockholm;ARN
Zürich;ZRH
Venice;VCE
Warsaw;WAW
Vienna;VIE
Vilnius;VNO
Alanya;GZP
Burgas;BOJ
Funchal;FNC
Herakleion;HER
Hurghada;HRG
Sharm el Sheikh;SSH
Tenerife;TCI
Tivat;TIV
